INFO   | jvm 1    | 2017/02/17 12:31:20 | 2017-02-17 12:31:20 Send to IS Product  drl.terra.modis.pds 2017-02-13 22:45:00 2017-02-13 22:49:59
INFO   | jvm 1    | 2017/02/17 12:31:20 | 2017-02-17 12:31:20 PdsMover transfer completed
INFO   | jvm 1    | 2017/02/17 12:31:20 | 2017-02-17 12:31:20 PdsMover processing ending
STATUS | wrapper  | 2017/02/17 12:57:45 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 12:57:46 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 13:36:20 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 13:36:20 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 13:36:20 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 13:36:20 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 13:36:20 | 
STATUS | wrapper  | 2017/02/17 13:36:22 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 13:36:22 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 13:36:22 | 2017-02-17 13:36:22 PdsMover ready - v5
INFO   | jvm 1    | 2017/02/17 13:36:22 | 2017-02-17 13:36:22 PdsMover Processing Started
INFO   | jvm 1    | 2017/02/17 13:36:22 | 2017-02-17 13:36:22 PdsMover 74 PDS construction records found
INFO   | jvm 1    | 2017/02/17 13:36:22 | 2017-02-17 13:36:22 PdsPassCreate: processing started.
INFO   | jvm 1    | 2017/02/17 13:36:22 | 2017-02-17 13:36:22 PdsPassCreate: pass already exists in database: <<TERRA>> AOS: Mon Feb 13 20:55:00 EST 2017  LOS: Mon Feb 13 20:59:59 EST 2017
INFO   | jvm 1    | 2017/02/17 13:36:22 | 2017-02-17 13:36:22 PdsPassCreate: pass already exists in database: <<TERRA>> AOS: Mon Feb 13 21:00:00 EST 2017  LOS: Mon Feb 13 21:04:59 EST 2017
INFO   | jvm 1    | 2017/02/17 13:36:22 | 2017-02-17 13:36:22 PdsPassCreate: pass already exists in database: <<TERRA>> AOS: Mon Feb 13 21:05:00 EST 2017  LOS: Mon Feb 13 21:09:59 EST 2017
INFO   | jvm 1    | 2017/02/17 13:36:22 | 2017-02-17 13:36:22 PdsPassCreate: pass already exists in database: <<TERRA>> AOS: Mon Feb 13 22:35:00 EST 2017  LOS: Mon Feb 13 22:39:59 EST 2017
INFO   | jvm 1    | 2017/02/17 13:36:22 | 2017-02-17 13:36:22 PdsPassCreate: pass already exists in database: <<TERRA>> AOS: Mon Feb 13 22:40:00 EST 2017  LOS: Mon Feb 13 22:44:59 EST 2017
INFO   | jvm 1    | 2017/02/17 13:36:22 | 2017-02-17 13:36:22 PdsPassCreate: pass already exists in database: <<TERRA>> AOS: Mon Feb 13 22:45:00 EST 2017  LOS: Mon Feb 13 22:49:59 EST 2017
INFO   | jvm 1    | 2017/02/17 13:36:22 | 2017-02-17 13:36:22 PdsPassCreate: pass already exists in database: <<TERRA>> AOS: Tue Feb 14 00:15:00 EST 2017  LOS: Tue Feb 14 00:19:59 EST 2017
INFO   | jvm 1    | 2017/02/17 13:36:22 | 2017-02-17 13:36:22 PdsMover Calling Sliver processing
INFO   | jvm 1    | 2017/02/17 13:36:22 | 2017-02-17 13:36:22 PdsPassCreate: replaced original pass list: passes <10>
INFO   | jvm 1    | 2017/02/17 13:36:22 | 2017-02-17 13:36:22 PdsPassCreate: with new pass list: passes <10>
