STATUS | wrapper  | 2017/02/21 10:26:37 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/21 10:26:37 | 
STATUS | wrapper  | 2017/02/21 10:26:37 | Launching a JVM...
INFO   | jvm 1    | 2017/02/21 10:26:38 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/21 10:26:38 | 2017-02-21 10:26:38 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/21 10:26:38 | 2017-02-21 10:26:38 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/21 10:40:03 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/21 10:40:03 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/21 10:58:58 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/21 10:58:58 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/21 10:58:58 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/21 10:58:58 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/21 10:58:58 | 
STATUS | wrapper  | 2017/02/21 10:58:59 | Launching a JVM...
INFO   | jvm 1    | 2017/02/21 10:58:59 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/21 10:58:59 | 2017-02-21 10:58:59 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/21 10:58:59 | 2017-02-21 10:58:59 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/21 12:12:40 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/21 12:12:41 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/21 12:16:14 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/21 12:16:14 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/21 12:16:14 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/21 12:16:14 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/21 12:16:14 | 
STATUS | wrapper  | 2017/02/21 12:16:14 | Launching a JVM...
INFO   | jvm 1    | 2017/02/21 12:16:14 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/21 12:16:14 | 2017-02-21 12:16:14 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/21 12:16:14 | 2017-02-21 12:16:14 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/21 15:24:59 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/21 15:25:00 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/21 15:44:11 | --> Wrapper Started as Daemon
