STATUS | wrapper  | 2017/02/20 13:38:36 | Launching a JVM...
INFO   | jvm 1    | 2017/02/20 13:38:36 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/20 13:38:36 | 2017-02-20 13:38:36 ValidateDB ready
INFO   | jvm 1    | 2017/02/20 13:38:36 | 2017-02-20 13:38:36 Validator starting run
INFO   | jvm 1    | 2017/02/20 13:38:36 | 2017-02-20 13:38:36 WARNING:Deleting /home/ipopp/drl/data/pub/gsfcdata/terra/modis/level0/P0420064AAAAAAAAAAAAAA17047153000000.PDS from database; file is gone
INFO   | jvm 1    | 2017/02/20 13:38:36 | 2017-02-20 13:38:36 WARNING:Deleting /home/ipopp/drl/data/pub/gsfcdata/terra/modis/level0/P0420064AAAAAAAAAAAAAA17047153000001.PDS from database; file is gone
INFO   | jvm 1    | 2017/02/20 13:38:36 | 2017-02-20 13:38:36 48 Products checked, 2 missing files
INFO   | jvm 1    | 2017/02/20 13:38:37 | 2017-02-20 13:38:36 0 StaticAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/20 13:38:37 | 2017-02-20 13:38:36 362 TimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/20 13:38:37 | 2017-02-20 13:38:36 71 SatTimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/20 13:38:37 | 2017-02-20 13:38:36 WARNING:Removed 2 product and 0 ancillary records due to missing files
INFO   | jvm 1    | 2017/02/20 13:38:37 | 2017-02-20 13:38:36 Validator ending run
STATUS | wrapper  | 2017/02/20 13:43:32 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/20 13:43:33 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/20 13:45:50 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/20 13:45:50 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/20 13:45:50 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
